Company,Full Time Employees,Industry,Sector(s),Ticker
Aalberts N.V.,"16,094",Specialty Industrial Machinery,Industrials,AALB.AS
ABN AMRO Bank N.V.,"17,977",Banks—Diversified,Financial Services,ABN.AS
Accell Group N.V.,"3,400",Leisure,Consumer Cyclical,ACCEL.AS
Accsys Technologies PLC,179,Lumber & Wood Production,Basic Materials,AXS.AS
Adyen N.V.,"1,182",Software—Infrastructure,Technology,ADYEN.AS
Aedifica SA,60,REIT—Residential,Real Estate,AED.BR
Aegon N.V.,"23,536",Insurance—Diversified,Financial Services,AGN.AS
Koninklijke Ahold Delhaize N.V.,"380,000",Grocery Stores,Consumer Defensive,AD.AS
Air France-KLM SA,"82,532",Airlines,Industrials,AFR.F
AFC Ajax NV,409,Leisure,Consumer Cyclical,AJAX.AS
Akzo Nobel N.V.,"33,200",Specialty Chemicals,Basic Materials,AKZA.AS
Alfen N.V.,497,Electrical Equipment & Parts,Industrials,ALFEN.AS
Altice Europe N.V.,"45,409",Telecom Services,Communication Services,ATCB.AS
Altice Europe N.V.,"45,409",Telecom Services,Communication Services,ATC.AS
Alumexx N.V.,,Internet Retail,Consumer Cyclical,ALX.AS
AMG Advanced Metallurgical Group N.V.,"3,100",Other Industrial Metals & Mining,Basic Materials,AMG.AS
Amsterdam Commodities N.V.,686,Food Distribution,Consumer Defensive,ACOMO.AS
AND International Publishers N.V.,15,Internet Content & Information,Communication Services,AND.AS
Aperam S.A.,"9,600",Steel,Basic Materials,APAM.AS
Arcadis NV,"26,822",Engineering & Construction,Industrials,ARCAD.AS
ArcelorMittal,"191,248",Steel,Basic Materials,MT.AS
ASM International NV,"2,337",Semiconductor Equipment & Materials,Technology,ASM.AS
ASML Holding N.V.,"24,330",Semiconductor Equipment & Materials,Technology,ASML.AS
ASR Nederland N.V.,"4,622",Insurance—Diversified,Financial Services,ASRNL.AS
Atrium European Real Estate Limited,345,Real Estate Services,Real Estate,ATRS.AS
Avantium N.V.,209,Specialty Chemicals,Basic Materials,AVTX.AS
B&S Group S.A.,"1,512",Food Distribution,Consumer Defensive,BSGR.AS
Koninklijke BAM Groep nv,"19,517",Engineering & Construction,Industrials,BAMNB.AS
Basic-Fit N.V.,"5,110",Leisure,Consumer Cyclical,BFIT.AS
BE Semiconductor Industries N.V.,"1,522",Semiconductor Equipment & Materials,Technology,BESI.AS
Beter Bed Holding N.V.,914,"Furnishings, Fixtures & Appliances",Consumer Cyclical,BBED.AS
Bever Holding NV,1,Real Estate Services,Real Estate,BEVER.AS
Royal Boskalis Westminster N.V.,"7,133",Engineering & Construction,Industrials,BOKA.AS
Koninklijke Brill NV,168,Publishing,Communication Services,BRILL.AS
Brunel International N.V.,"10,159",Staffing & Employment Services,Industrials,BRNL.AS
CM.com N.V.,266,Software—Application,Technology,CMCOM.AS
Coca-Cola European Partners plc,"23,357",Beverages—Non-Alcoholic,Consumer Defensive,CCEP.AS
Corbion N.V.,"2,213",Specialty Chemicals,Basic Materials,CRBN.AS
Core Laboratories N.V.,"3,800",Oil & Gas Equipment & Services,Energy,CLB.AS
Ctac N.V.,414,Information Technology Services,Technology,CTAC.AS
DGB Group N.V.,60,Software—Application,Technology,DGB.AS
DPA Group N.V.,"1,400",Staffing & Employment Services,Industrials,DPA.AS
Koninklijke DSM N.V.,"21,940",Specialty Chemicals,Basic Materials,DSM.AS
Ease2pay N.V.,8,Software—Infrastructure,Technology,EAS2P.AS
Envipco Holding N.V.,186,Pollution & Treatment Controls,Industrials,ENVI.AS
Esperite N.V.,133,Medical Care Facilities,Healthcare,ESP.AS
Eurocastle Investment Limited,,Asset Management,Financial Services,ECT.AS
Eurocommercial Properties N.V.,89,REIT—Retail,Real Estate,ECMPA.AS
Euronext N.V.,"1,069",Financial Data & Stock Exchanges,Financial Services,ENX.PA
Fagron NV,"2,615",Drug Manufacturers—Specialty & Generic,Healthcare,FAGR.BR
Fastned B.V.,47,Specialty Retail,Consumer Cyclical,FAST.AS
Flow Traders N.V.,502,Capital Markets,Financial Services,FLOW.AS
Nuveen New York Quality Municipal Income Fund,,Asset Management,Financial Services,
ForFarmers N.V.,"2,570",Farm Products,Consumer Defensive,FFARM.AS
Fugro N.V.,"9,500",Oil & Gas Equipment & Services,Energy,FUR.AS
Galapagos NV,"1,280",Biotechnology,Healthcare,GLPG.AS
GrandVision N.V.,"33,681",Specialty Retail,Consumer Cyclical,GVNV.AS
HAL Trust,"23,776",Asset Management,Financial Services,HAL.AS
Heijmans N.V.,"4,725",Engineering & Construction,Industrials,HEIJM.AS
Heineken N.V.,"85,000",Beverages—Brewers,Consumer Defensive,HEIA.AS
Heineken Holding N.V.,"85,000",Beverages—Brewers,Consumer Defensive,HEIO.AS
Holland Colours N.V.,425,Specialty Chemicals,Basic Materials,HOLCO.AS
Hydratec Industries NV,"1,450",Farm & Heavy Construction Machinery,Industrials,HYDRA.AS
ICT Group N.V.,"1,413",Software—Application,Technology,ICT.AS
IEX Group N.V.,,Asset Management,Financial Services,IEX.AS
IMCD N.V.,"2,991",Specialty Chemicals,Basic Materials,IMCD.AS
ING Groep N.V.,"55,000",Banks—Diversified,Financial Services,INGA.AS
Intertrust N.V.,"3,833",Asset Management,Financial Services,INTER.AS
JDE Peet's N.V.,"21,255",Packaged Foods,Consumer Defensive,JDEP.AS
Just Eat Takeaway.com N.V.,"5,423",Internet Content & Information,Communication Services,TKWY.AS
Kardan N.V.,"1,492",Real Estate—Development,Real Estate,KARD.AS
Kendrion N.V.,"2,522",Auto Parts,Consumer Cyclical,KENDR.AS
Kiadis Pharma N.V.,170,Biotechnology,Healthcare,KDS.AS
Koninklijke KPN N.V.,"10,224",Telecom Services,Communication Services,KPN.AS
Lavide Holding N.V.,,Shell Companies,Financial Services,LVIDE.AS
Lucas Bols N.V.,71,Beverages—Wineries & Distilleries,Consumer Defensive,BOLS.AS
Marel hf.,"6,400",Specialty Industrial Machinery,Industrials,MAREL.AS
MKB Nedsense NV,,Software—Application,Technology,NEDSE.AS
Morefield Group N.V.,,Staffing & Employment Services,Industrials,MORE.AS
Nedap N.V.,736,Electronic Components,Technology,NEDAP.AS
NEPI Rockcastle plc,,Real Estate—Diversified,Real Estate,NRP.AS
New Sources Energy NV,,Utilities—Renewable,Utilities,NSE.AS
Neways Electronics International N.V.,"2,547",Electronic Components,Technology,NEWAY.AS
NIBC Holding N.V.,722,Banks—Regional,Financial Services,NIBC.AS
NN Group N.V.,"14,230",Insurance—Diversified,Financial Services,NN.AS
Novisource N.V.,72,Information Technology Services,Technology,NOVI.AS
NSI N.V.,52,REIT—Office,Real Estate,NSI.AS
OCI N.V.,"3,147",Specialty Chemicals,Basic Materials,OCI.AS
Oranjewoud N.V.,"9,851",Engineering & Construction,Industrials,ORANW.AS
