,Adj Close**,Close,High,Low,Open,Ticker,time
0,24.13,25.7,26.48,20.53,20.92,AALB.AS,20200401
1,37.57,40.01,40.92,37.08,38.59,AALB.AS,20191201
2,31.69,33.75,43.11,32.96,39.57,AALB.AS,20200201
3,37.11,39.52,41.06,39.13,40.01,AALB.AS,20200101
4,28.37,29.19,30.89,24.75,25.0,AALB.AS,20200601
5,20.32,21.64,34.68,16.16,34.51,AALB.AS,20200301
6,23.95,24.65,25.6,21.15,24.74,AALB.AS,20200501
7,36.1,38.45,39.8,36.01,36.15,AALB.AS,20191101
8,33.86,36.06,37.96,34.05,36.4,AALB.AS,20191001
0,6.28,7.0,8.3,6.23,7.24,ABN.AS,20200401
1,14.54,16.22,16.44,14.91,15.5,ABN.AS,20191201
2,11.15,12.44,16.95,12.28,15.78,ABN.AS,20200201
3,14.1,15.72,16.98,15.4,16.22,ABN.AS,20200101
4,7.67,7.67,9.56,7.18,7.49,ABN.AS,20200601
5,6.71,7.48,12.88,6.35,12.87,ABN.AS,20200301
6,7.21,7.21,7.74,5.68,6.73,ABN.AS,20200501
7,13.89,15.49,17.59,15.49,16.7,ABN.AS,20191101
8,14.97,16.69,17.36,15.54,16.25,ABN.AS,20191001
0,16.86,16.86,17.52,12.3,12.44,ACCEL.AS,20200401
1,25.8,25.8,25.9,24.55,25.5,ACCEL.AS,20191201
2,24.9,24.9,29.3,24.75,27.7,ACCEL.AS,20200201
3,27.9,27.9,28.3,25.65,25.8,ACCEL.AS,20200101
4,22.0,22.0,22.9,20.65,22.15,ACCEL.AS,20200601
5,12.64,12.64,25.8,12.0,24.6,ACCEL.AS,20200301
6,21.85,21.85,24.8,15.3,16.5,ACCEL.AS,20200501
7,25.7,25.7,25.9,22.25,22.35,ACCEL.AS,20191101
8,22.25,22.25,22.5,21.4,22.2,ACCEL.AS,20191001
0,0.902,0.902,0.948,0.786,0.82,AXS.AS,20200401
1,1.24,1.24,1.25,1.08,1.18,AXS.AS,20191201
2,1.09,1.09,1.26,1.02,1.26,AXS.AS,20200201
3,1.25,1.25,1.26,1.19,1.24,AXS.AS,20200101
4,0.97,0.97,1.065,0.866,0.896,AXS.AS,20200601
5,0.812,0.812,1.17,0.7,1.1,AXS.AS,20200301
6,0.876,0.876,0.93,0.85,0.9,AXS.AS,20200501
7,1.17,1.17,1.215,1.134,1.1538,AXS.AS,20191101
8,1.1439,1.1439,1.1833,1.0946,1.1143,AXS.AS,20191001
0,901.2,901.2,918.8,683.2,753.2,ADYEN.AS,20200401
1,731.0,731.0,744.0,675.2,698.2,ADYEN.AS,20191201
2,797.2,797.2,897.0,730.0,835.8,ADYEN.AS,20200201
3,831.0,831.0,842.0,727.0,731.0,ADYEN.AS,20200101
4,1295.5,1295.5,1325.5,1114.5,1190.5,ADYEN.AS,20200601
5,770.6,770.6,837.4,664.4,836.6,ADYEN.AS,20200301
6,1183.0,1183.0,1198.0,861.8,874.4,ADYEN.AS,20200501
7,696.2,696.2,700.0,617.0,630.0,ADYEN.AS,20191101
8,629.4,629.4,649.0,562.8,608.0,ADYEN.AS,20191001
0,85.92,88.3,101.6,84.8,93.4,AED.BR,20200401
1,110.15,113.2,113.8,106.6,110.8,AED.BR,20191201
2,114.24,117.4,139.2,114.6,122.0,AED.BR,20200201
3,118.71,122.0,123.2,110.8,113.2,AED.BR,20200101
4,97.3,97.3,104.4,93.7,97.5,AED.BR,20200601
5,91.95,94.5,127.6,65.3,116.8,AED.BR,20200301
6,96.1,96.1,97.7,85.7,87.4,AED.BR,20200501
7,108.01,111.0,117.2,106.2,108.4,AED.BR,20191101
8,101.65,107.8,108.4,102.0,106.4,AED.BR,20191001
0,2.1829,2.35,2.578,2.033,2.22,AGN.AS,20200401
1,3.7778,4.067,4.272,3.908,4.103,AGN.AS,20191201
2,2.8526,3.071,4.017,3.024,3.669,AGN.AS,20200201
3,3.4081,3.669,4.173,3.65,4.067,AGN.AS,20200101
4,2.653,2.653,3.159,2.427,2.454,AGN.AS,20200601
5,2.1494,2.314,3.138,1.556,3.123,AGN.AS,20200301
6,2.234,2.405,2.603,1.952,2.26,AGN.AS,20200501
7,3.801,4.092,4.283,3.874,3.889,AGN.AS,20191101
8,3.6004,3.876,4.084,3.59,3.844,AGN.AS,20191001
0,21.29,22.16,23.28,20.69,20.92,AD.AS,20200401
1,21.42,22.3,23.75,22.3,23.37,AD.AS,20191201
2,20.35,21.18,23.97,20.75,22.3,AD.AS,20200201
3,21.33,22.2,22.72,21.87,22.3,AD.AS,20200101
4,23.8,24.26,24.51,22.81,22.97,AD.AS,20200601
5,20.45,21.28,23.04,18.04,21.35,AD.AS,20200301
6,22.38,22.81,24.03,21.69,21.86,AD.AS,20200501
7,22.47,23.39,24.5,22.12,22.49,AD.AS,20191101
8,21.45,22.33,23.26,22.15,23.0,AD.AS,20191001
0,4.45,4.45,5.706,4.311,5.092,AFR.F,20200401
1,9.984,9.984,10.82,9.848,10.685,AFR.F,20191201
2,6.9,6.9,9.962,6.9,8.384,AFR.F,20200201
3,8.396,8.396,10.245,8.3,9.984,AFR.F,20200101
4,4.047,4.047,6.634,3.92,4.372,AFR.F,20200601
5,5.09,5.09,7.164,3.865,7.164,AFR.F,20200301
6,4.078,4.078,4.655,3.507,4.655,AFR.F,20200501
7,10.755,10.755,10.98,9.958,10.635,AFR.F,20191101
8,10.825,10.825,10.975,9.32,9.69,AFR.F,20191001
0,14.3,14.3,15.5,13.6,14.5,AJAX.AS,20200401
1,21.4,21.4,22.8,18.2,22.1,AJAX.AS,20191201
2,17.95,17.95,20.5,17.0,20.0,AJAX.AS,20200201
3,20.2,20.2,21.8,19.75,21.4,AJAX.AS,20200101
4,15.22,15.22,15.9,13.88,14.3,AJAX.AS,20200601
5,14.75,14.75,18.25,11.95,17.1,AJAX.AS,20200301
6,14.06,14.06,14.48,13.0,14.0,AJAX.AS,20200501
7,21.83,22.1,22.4,19.0,19.1,AJAX.AS,20191101
8,18.92,19.15,19.5,18.5,18.7,AJAX.AS,20191001
0,67.69,69.2,70.76,56.3,58.08,AKZA.AS,20200401
1,88.66,90.64,92.12,85.36,86.91,AKZA.AS,20191201
2,70.57,72.15,91.22,71.85,85.36,AKZA.AS,20200201
3,83.44,85.3,91.68,84.86,90.64,AKZA.AS,20200101
4,79.74,79.74,81.44,72.0,74.74,AKZA.AS,20200601
5,58.7,60.01,75.11,45.73,73.26,AKZA.AS,20200301
6,73.6,73.6,75.76,65.7,67.12,AKZA.AS,20200501
7,85.02,86.92,89.32,82.8,82.95,AKZA.AS,20191101
8,80.35,82.55,84.55,79.7,82.0,AKZA.AS,20191001
0,26.3,26.3,26.85,20.5,20.65,ALFEN.AS,20200401
1,16.44,16.44,16.84,13.68,14.0,ALFEN.AS,20191201
2,26.65,26.65,30.3,23.95,24.25,ALFEN.AS,20200201
3,24.25,24.25,27.4,15.92,16.44,ALFEN.AS,20200101
4,35.9,35.9,36.9,27.65,28.35,ALFEN.AS,20200601
5,21.05,21.05,29.15,16.2,27.5,ALFEN.AS,20200301
6,27.85,27.85,28.8,23.75,25.5,ALFEN.AS,20200501
7,13.9,13.9,15.2,12.92,14.82,ALFEN.AS,20191101
8,14.74,14.74,15.42,12.8,13.1,ALFEN.AS,20191001
0,3.65,3.65,4.2,3.17,3.395,ATCB.AS,20200401
1,5.7,5.7,5.85,4.995,5.42,ATCB.AS,20191201
2,4.795,4.795,6.86,4.725,5.9,ATCB.AS,20200201
3,5.89,5.89,6.4,5.7,5.7,ATCB.AS,20200101
4,3.41,3.41,4.32,3.385,3.685,ATCB.AS,20200601
5,3.555,3.555,5.16,2.275,4.965,ATCB.AS,20200301
6,3.59,3.59,4.07,3.28,3.54,ATCB.AS,20200501
7,5.39,5.39,5.7,4.93,5.16,ATCB.AS,20191101
8,5.14,5.14,5.42,4.67,4.83,ATCB.AS,20191001
0,3.635,3.635,4.216,3.147,3.367,ATC.AS,20200401
1,5.748,5.748,5.848,4.974,5.414,ATC.AS,20191201
2,4.843,4.843,6.86,4.7,5.846,ATC.AS,20200201
3,5.816,5.816,6.42,5.716,5.748,ATC.AS,20200101
4,3.435,3.435,4.319,3.396,3.68,ATC.AS,20200601
5,3.531,3.531,5.164,2.262,4.998,ATC.AS,20200301
6,3.6,3.6,4.044,3.263,3.5,ATC.AS,20200501
7,5.402,5.402,5.708,4.924,5.14,ATC.AS,20191101
8,5.12,5.12,5.446,4.65,4.8,ATC.AS,20191001
0,0.466,0.466,0.5,0.37,0.39,ALX.AS,20200401
1,0.578,0.578,0.638,0.552,0.638,ALX.AS,20191201
2,0.43,0.43,0.564,0.41,0.556,ALX.AS,20200201
3,0.556,0.556,0.578,0.542,0.578,ALX.AS,20200101
4,0.435,0.435,0.489,0.42,0.46,ALX.AS,20200601
5,0.4,0.4,0.48,0.3,0.425,ALX.AS,20200301
6,0.46,0.46,0.47,0.431,0.45,ALX.AS,20200501
7,0.628,0.628,0.678,0.61,0.66,ALX.AS,20191101
8,0.65,0.65,0.716,0.64,0.69,ALX.AS,20191001
0,15.05,15.38,16.78,12.34,12.55,AMG.AS,20200401
1,21.36,21.82,21.95,19.97,21.55,AMG.AS,20191201
2,20.56,21.0,24.48,19.6,20.61,AMG.AS,20200201
3,20.16,20.6,23.28,20.6,21.82,AMG.AS,20200101
4,15.78,15.89,19.09,15.1,15.4,AMG.AS,20200601
5,12.63,12.9,22.27,11.79,21.91,AMG.AS,20200301
6,14.75,15.06,15.9,12.43,14.8,AMG.AS,20200501
7,20.91,21.36,25.63,21.1,22.4,AMG.AS,20191101
8,21.54,22.01,25.0,19.66,22.17,AMG.AS,20191001
0,18.55,19.64,19.7,15.82,16.2,ACOMO.AS,20200401
1,19.6,20.75,20.9,20.05,20.45,ACOMO.AS,20191201
2,18.57,19.66,22.0,19.36,20.7,ACOMO.AS,20200201
3,19.55,20.7,20.85,20.05,20.75,ACOMO.AS,20200101
4,19.08,19.48,20.4,18.44,19.1,ACOMO.AS,20200601
5,15.3,16.2,20.7,12.5,20.0,ACOMO.AS,20200301
6,17.89,18.94,19.78,17.84,19.12,ACOMO.AS,20200501
7,19.36,20.5,20.7,19.3,19.32,ACOMO.AS,20191101
8,18.25,19.32,19.9,18.8,19.86,ACOMO.AS,20191001
0,1.35,1.35,1.55,1.25,1.3,AND.AS,20200401
1,2.18,2.18,2.44,2.06,2.17,AND.AS,20191201
2,1.91,1.91,2.37,1.89,2.37,AND.AS,20200201
3,2.31,2.31,2.87,2.06,2.18,AND.AS,20200101
4,1.385,1.385,1.44,1.31,1.395,AND.AS,20200601
5,1.3,1.3,2.15,0.97,1.96,AND.AS,20200301
6,1.425,1.425,1.55,1.25,1.305,AND.AS,20200501
7,2.2,2.2,2.43,1.98,2.0,AND.AS,20191101
8,2.0,2.0,2.25,1.955,2.22,AND.AS,20191001
0,0.07,0.07,0.08,0.06,0.08,AAA.AS,20200401
1,0.1,0.1,0.11,0.1,0.1,AAA.AS,20191201
2,0.12,0.12,0.13,0.11,0.11,AAA.AS,20200201
3,0.11,0.11,0.11,0.1,0.1,AAA.AS,20200101
4,0.08,0.08,0.08,0.06,0.06,AAA.AS,20200601
5,0.08,0.08,0.12,0.08,0.12,AAA.AS,20200301
6,0.06,0.06,0.07,0.06,0.07,AAA.AS,20200501
7,0.1,0.1,0.12,0.1,0.12,AAA.AS,20191101
8,0.12,0.12,0.13,0.12,0.12,AAA.AS,20191001
0,22.87,23.74,24.85,18.23,18.64,APAM.AS,20200401
1,27.01,28.51,29.04,26.33,27.46,APAM.AS,20191201
2,25.53,26.94,32.56,25.67,26.0,APAM.AS,20200201
3,24.59,25.95,29.87,25.76,28.51,APAM.AS,20200101
4,24.4,24.82,27.89,23.38,25.24,APAM.AS,20200601
5,18.27,19.28,27.94,15.07,27.3,APAM.AS,20200301
6,23.84,24.75,25.05,21.24,22.68,APAM.AS,20200501
7,25.36,27.2,28.64,23.01,23.14,APAM.AS,20191101
8,21.32,22.86,23.92,20.16,22.48,APAM.AS,20191001
0,13.57,14.19,15.99,13.53,14.26,ARCAD.AS,20200401
1,19.87,20.78,21.06,17.9,18.55,ARCAD.AS,20191201
2,19.8,20.7,24.62,19.85,20.32,ARCAD.AS,20200201
3,19.66,20.56,21.54,19.72,20.78,ARCAD.AS,20200101
4,16.1,16.1,17.88,15.16,15.7,ARCAD.AS,20200601
5,13.87,14.5,21.26,12.04,20.62,ARCAD.AS,20200301
6,14.73,15.4,15.9,11.91,13.59,ARCAD.AS,20200501
7,17.65,18.46,19.44,17.55,17.76,ARCAD.AS,20191101
8,16.93,17.7,18.44,16.06,17.16,ARCAD.AS,20191001
0,10.0,10.0,10.8,7.64,8.23,MT.AS,20200401
1,15.64,15.64,17.24,14.61,15.7,MT.AS,20191201
2,12.84,12.84,16.85,12.41,13.36,MT.AS,20200201
3,13.36,13.36,16.12,13.28,15.64,MT.AS,20200101
4,9.37,9.37,11.09,8.78,8.9,MT.AS,20200601
5,8.66,8.66,13.69,5.98,13.5,MT.AS,20200301
6,8.6,8.6,10.55,6.98,9.41,MT.AS,20200501
7,15.53,15.53,16.03,13.35,13.37,MT.AS,20191101
8,13.23,13.23,14.38,11.52,13.1,MT.AS,20191001
0,99.01,100.45,107.55,81.66,88.26,ASM.AS,20200401
1,98.71,100.15,105.0,98.62,100.95,ASM.AS,20191201
2,103.44,104.95,125.8,99.0,108.65,ASM.AS,20200201
3,108.47,110.05,124.5,97.26,100.15,ASM.AS,20200101
4,137.55,137.55,137.85,104.3,107.0,ASM.AS,20200601
5,90.03,91.34,113.8,54.54,113.65,ASM.AS,20200301
6,103.05,104.55,111.25,95.02,97.0,ASM.AS,20200501
7,98.5,100.95,104.95,91.98,92.28,ASM.AS,20191101
8,87.88,90.06,101.2,80.44,84.8,ASM.AS,20191001
0,269.29,270.65,282.0,222.4,234.55,ASML.AS,20200401
1,262.38,263.7,267.8,235.6,247.3,ASML.AS,20191201
2,246.86,248.1,294.4,241.95,255.3,ASML.AS,20200201
3,252.98,254.25,274.8,254.0,263.7,ASML.AS,20200101
4,326.9,326.9,330.35,289.8,298.0,ASML.AS,20200601
5,241.24,242.45,268.9,177.52,256.1,ASML.AS,20200301
6,292.95,292.95,300.45,251.85,257.5,ASML.AS,20200501
7,244.69,247.0,249.6,235.6,236.0,ASML.AS,20191101
8,232.8,235.0,243.85,217.0,229.45,ASML.AS,20191001
0,23.29,24.55,26.01,20.7,22.29,ASRNL.AS,20200401
1,31.65,33.36,34.7,32.42,33.8,ASRNL.AS,20191201
2,28.58,30.12,37.84,29.83,33.68,ASRNL.AS,20200201
3,31.92,33.64,36.49,33.19,33.36,ASRNL.AS,20200101
4,27.34,27.34,29.77,24.77,25.07,ASRNL.AS,20200601
5,21.78,22.96,30.83,18.1,30.72,ASRNL.AS,20200301
6,23.43,24.7,26.02,20.96,23.68,ASRNL.AS,20200501
